,dateBefore,population_size,state_population_size,severityScore,pctStateAffected,interventionFootprint,State
2,2020-03-25,3956971,142450956,14.600000000000003,1.0,0.25076120092869014,Oklahoma
3,2020-03-28,3956971,142450956,15.8,0.9999999999999996,0.4099268859943629,Oklahoma
4,2020-03-29,3956971,142450956,16.599999999999994,0.9999999999999993,0.4210698031398259,Oklahoma
5,2020-03-30,3956971,142450956,17.799999999999986,0.9999999999999998,0.4428316002315912,Oklahoma
6,2020-04-01,3956971,142450956,19.59999999999999,1.0,0.47903383674027455,Oklahoma
7,2020-04-04,3956971,142450956,20.2,1.0,0.48845058505609484,Oklahoma
8,2020-04-06,3956971,142450956,21.400000000000002,1.0,0.49303030019679206,Oklahoma
9,2020-04-08,3956971,142450956,22.000000000000004,1.0,0.49598286163835936,Oklahoma
10,2020-04-24,3956971,142450956,22.000000000000004,1.0,0.49598286163835936,Oklahoma
11,2020-05-01,3956971,142450956,22.000000000000004,1.0,0.49598286163835936,Oklahoma
0,2020-03-12,3725789,3725789,0.1,1.0,0.1,Puerto Rico
1,2020-03-13,3725789,3725789,0.1,1.0,0.1,Puerto Rico
2,2020-03-15,3725789,3725789,0.1,1.0,0.1,Puerto Rico
3,2020-04-27,3725789,3725789,0.1,1.0,0.1,Puerto Rico
4,2020-05-04,3725789,3725789,0.1,1.0,0.1,Puerto Rico
0,2020-03-09,1059361,1059361,0.1,1.0,0.1,Rhode Island
1,2020-03-16,1059361,1059361,0.1,1.0,0.1,Rhode Island
2,2020-03-17,1059361,1059361,0.1,1.0,0.1,Rhode Island
3,2020-03-26,1059361,1059361,0.1,1.0,0.1,Rhode Island
4,2020-03-28,1059361,1059361,1.0,1.0,1.0,Rhode Island
5,2020-04-18,1059361,1059361,1.0,1.0,1.0,Rhode Island
6,2020-05-08,1059361,1059361,1.0,1.0,1.0,Rhode Island
0,2020-03-13,28995881,927868192,3.2000000000000015,1.0,0.1,Texas
1,2020-03-19,28995881,927868192,3.2000000000000015,1.0,0.1,Texas
2,2020-03-23,28995881,927868192,31.1,0.9999999999999998,0.6679486407052089,Texas
3,2020-03-24,28995881,927868192,31.1,0.9999999999999998,0.6679486407052089,Texas
4,2020-03-30,28995881,927868192,31.1,0.9999999999999998,0.6679486407052089,Texas
5,2020-05-01,28995881,927868192,31.1,0.9999999999999998,0.6679486407052089,Texas
0,2020-03-20,187500,6829174,0.6,0.027455736228129492,0.016473441736877696,Tennessee
1,2020-03-22,1550697,20487522,2.6,0.2270694816093425,0.21608718711809072,Tennessee
2,2020-03-24,3608794,40975044,6.0,0.5284378462168339,0.5284378462168339,Tennessee
3,2020-03-25,3689708,47804218,7.0,0.5402861312363691,0.5402861312363691,Tennessee
4,2020-03-30,6829174,54633392,6.2,1.0,0.17251503622546444,Tennessee
5,2020-04-02,6829174,54633392,6.2,1.0,0.17251503622546444,Tennessee
6,2020-04-30,6829174,54633392,6.2,1.0,0.17251503622546444,Tennessee
0,2020-03-13,884659,884659,0.1,1.0,0.1,South Dakota
1,2020-03-16,884659,884659,0.4,1.0,0.4,South Dakota
0,2020-03-13,5148714,25743570,0.5,1.0,0.09999999999999999,South Carolina
1,2020-03-15,5148714,25743570,2.0,1.0,0.39999999999999997,South Carolina
2,2020-03-17,5148714,25743570,1.5,1.0,0.3,South Carolina
3,2020-03-23,5148714,25743570,1.5,1.0,0.3,South Carolina
4,2020-03-25,5148714,25743570,2.2,1.0,0.3185183329274067,South Carolina
5,2020-03-26,5148714,25743570,2.8999999999999995,1.0,0.3366618343920443,South Carolina
6,2020-03-27,5148714,25743570,3.5999999999999996,1.0,0.3407905546899672,South Carolina
7,2020-04-01,5148714,25743570,3.5999999999999996,1.0,0.3407905546899672,South Carolina
8,2020-04-02,5148714,25743570,4.3,1.0,0.35293661679401883,South Carolina
9,2020-04-07,5148714,25743570,4.3,1.0,0.35293661679401883,South Carolina
10,2020-04-20,5148714,25743570,4.3,1.0,0.35293661679401883,South Carolina
11,2020-04-27,5148714,25743570,4.3,1.0,0.35293661679401883,South Carolina
12,2020-05-04,5148714,25743570,4.3,1.0,0.35293661679401883,South Carolina
13,2020-05-18,5148714,25743570,4.3,1.0,0.35293661679401883,South Carolina
0,2020-03-10,10488084,230737848,2.2000000000000006,1.0,0.1,North Carolina
1,2020-03-14,10488084,230737848,6.599999999999998,1.0,0.3,North Carolina
2,2020-03-17,10488084,230737848,6.599999999999998,1.0,0.3,North Carolina
3,2020-03-23,10488084,230737848,6.599999999999998,1.0,0.3,North Carolina
4,2020-03-25,10488084,230737848,9.4,1.0,0.3349584728726429,North Carolina
5,2020-03-26,10488084,230737848,13.600000000000009,1.0,0.4341412978767142,North Carolina
6,2020-03-27,10488084,230737848,19.900000000000002,0.9999999999999999,0.572971450266798,North Carolina
7,2020-03-28,10488084,230737848,21.3,0.9999999999999999,0.5852818207787046,North Carolina
8,2020-03-30,10488084,230737848,21.3,0.9999999999999999,0.5852818207787046,North Carolina
9,2020-05-08,10488084,230737848,21.3,0.9999999999999999,0.5852818207787046,North Carolina
10,2020-05-22,10488084,230737848,21.3,0.9999999999999999,0.5852818207787046,North Carolina
0,2020-03-07,19453561,194535610,0.9999999999999999,1.0,0.1,New York
1,2020-03-08,19453561,194535610,1.3,0.9999999999999999,0.1149202400527081,New York
2,2020-03-12,19453561,194535610,1.3,0.9999999999999999,0.1149202400527081,New York
3,2020-03-13,19453561,194535610,2.8000000000000003,1.0,0.1350140933066188,New York
4,2020-03-16,19453561,194535610,3.6999999999999997,1.0,0.19363108893019637,New York
5,2020-03-22,19453561,194535610,3.6999999999999997,1.0,0.19363108893019637,New York
6,2020-04-15,19453561,194535610,3.6999999999999997,1.0,0.19363108893019637,New York
7,2020-05-15,19453561,194535610,3.6999999999999997,1.0,0.19363108893019637,New York
8,2020-05-27,19453561,194535610,3.6999999999999997,1.0,0.19363108893019637,New York
0,2020-03-11,2096829,2096829,0.1,1.0,0.1,New Mexico
1,2020-03-24,2096829,2096829,0.1,1.0,0.1,New Mexico
2,2020-05-06,2096829,2096829,0.1,1.0,0.1,New Mexico
3,2020-05-16,2096829,2096829,0.1,1.0,0.1,New Mexico
4,2020-05-27,2096829,2096829,0.1,1.0,0.1,New Mexico
0,2020-03-09,8882190,17764380,0.2,1.0,0.1,New Jersey
1,2020-03-10,8882190,17764380,0.8,1.0,0.4,New Jersey
2,2020-03-14,8882190,17764380,1.4,1.0,0.4036109337899775,New Jersey
3,2020-03-16,8882190,17764380,2.0,1.0,1.0,New Jersey
4,2020-03-21,8882190,17764380,2.0,1.0,1.0,New Jersey
5,2020-05-13,8882190,17764380,2.0,1.0,1.0,New Jersey
0,2020-03-13,1934408,110261256,5.699999999999996,1.0,0.10000000000000002,Nebraska
1,2020-03-19,1934408,110261256,6.5999999999999925,1.0,0.18520880806944548,Nebraska
2,2020-03-25,1934408,110261256,7.4999999999999885,1.0,0.2282446619327463,Nebraska
3,2020-03-29,1934408,110261256,8.899999999999983,1.0000000000000002,0.23635804856059314,Nebraska
4,2020-03-30,1934408,110261256,11.999999999999986,1.0,0.2512527346867878,Nebraska
5,2020-03-31,1934408,110261256,15.099999999999996,1.0,0.271097203899074,Nebraska
6,2020-04-01,1934408,110261256,18.100000000000023,0.9999999999999999,0.27963666403364745,Nebraska
7,2020-04-03,1934408,110261256,18.100000000000023,0.9999999999999999,0.27963666403364745,Nebraska
8,2020-04-28,1934408,110261256,19.800000000000022,0.9999999999999999,0.2935580291231219,Nebraska
9,2020-05-04,1934408,110261256,19.800000000000022,0.9999999999999999,0.2935580291231219,Nebraska
10,2020-05-13,1934408,110261256,19.800000000000022,0.9999999999999999,0.2935580291231219,Nebraska
11,2020-05-18,1934408,110261256,19.800000000000022,0.9999999999999999,0.2935580291231219,Nebraska
0,2020-03-13,623989,1247978,0.2,1.0,0.10000000000000002,Vermont
1,2020-03-15,623989,1247978,0.2,1.0,0.10000000000000002,Vermont
2,2020-03-16,623989,1247978,-0.7000000000000001,1.0,0.038125351568697535,Vermont
3,2020-03-25,623989,1247978,-0.7000000000000001,1.0,0.038125351568697535,Vermont
4,2020-03-30,623989,1247978,-0.7000000000000001,1.0,0.038125351568697535,Vermont
5,2020-04-20,623989,1247978,-0.30000000000000004,1.0,0.410625507821452,Vermont
6,2020-04-24,623989,1247978,-0.30000000000000004,1.0,0.410625507821452,Vermont
7,2020-05-04,623989,1247978,-0.30000000000000004,1.0,0.410625507821452,Vermont
0,2020-03-12,9986857,9986857,0.4,1.0,0.4,Michigan
1,2020-03-13,9986857,9986857,0.4,1.0,0.4,Michigan
2,2020-03-16,9986857,9986857,0.6,1.0,0.6,Michigan
3,2020-03-17,9986857,9986857,0.6,1.0,0.6,Michigan
4,2020-03-24,9986857,9986857,0.6,1.0,0.6,Michigan
5,2020-04-24,9986857,9986857,0.6,1.0,0.6,Michigan
6,2020-05-22,9986857,9986857,0.6,1.0,0.6,Michigan
0,2020-03-10,5758736,74863568,1.3,1.0,0.1,Colorado
1,2020-03-18,5758736,74863568,2.200000000000001,1.0,0.10127824925469757,Colorado
2,2020-03-23,5758736,74863568,4.899999999999997,1.0,0.23280898794457675,Colorado
3,2020-03-25,5758736,74863568,12.1,0.9999999999999998,0.7307460699709101,Colorado
4,2020-03-26,5758736,74863568,12.1,0.9999999999999998,0.7307460699709101,Colorado
5,2020-04-27,5758736,74863568,12.1,0.9999999999999998,0.7307460699709101,Colorado
6,2020-05-01,5758736,74863568,12.1,0.9999999999999998,0.7307460699709101,Colorado
7,2020-05-04,5758736,74863568,11.2,0.9999999999999998,0.46149213994182037,Colorado
8,2020-05-27,5758736,74863568,11.2,0.9999999999999998,0.46149213994182037,Colorado
0,2020-03-12,2913314,55352966,1.9000000000000006,0.9999999999999999,0.1,Kansas
1,2020-03-15,2913314,55352966,1.9000000000000006,0.9999999999999999,0.1,Kansas
2,2020-03-16,2913314,55352966,5.699999999999998,0.9999999999999999,0.29999999999999993,Kansas
3,2020-03-17,2913314,55352966,5.699999999999998,1.0,0.29999999999999993,Kansas
4,2020-03-22,2913314,55352966,7.799999999999997,0.9999999999999999,0.5041357711527147,Kansas
5,2020-03-24,2913314,55352966,8.499999999999998,1.0,0.533511698361385,Kansas
6,2020-03-25,2913314,55352966,11.300000000000008,1.0,0.6709429536260081,Kansas
7,2020-03-26,2913314,55352966,14.100000000000005,1.0,0.7252090917765818,Kansas
8,2020-03-27,2913314,55352966,14.800000000000004,1.0,0.7306960389439656,Kansas
9,2020-03-28,2913314,55352966,16.900000000000002,1.0,0.7397400348881035,Kansas
10,2020-03-30,2913314,55352966,16.900000000000002,1.0,0.7397400348881035,Kansas
11,2020-05-04,2913314,55352966,15.600000000000001,1.0,0.33053138110069846,Kansas
12,2020-05-22,2913314,55352966,15.600000000000001,1.0,0.33053138110069846,Kansas
0,2020-03-12,5822434,11644868,0.2,1.0,0.1,Wisconsin
1,2020-03-13,5822434,11644868,0.8,1.0,0.4,Wisconsin
2,2020-03-16,5822434,11644868,0.8,1.0,0.4,Wisconsin
3,2020-03-17,5822434,11644868,0.8,1.0,0.4,Wisconsin
4,2020-03-23,5822434,11644868,1.4,1.0,0.4610079908162119,Wisconsin
5,2020-03-24,5822434,11644868,2.0,1.0,1.0,Wisconsin
6,2020-04-27,5822434,11644868,2.0,1.0,1.0,Wisconsin
7,2020-05-13,5822434,11644868,2.0,1.0,1.0,Wisconsin
0,2020-03-06,4467673,4467673,0.1,1.0,0.1,Kentucky
1,2020-03-16,4467673,4467673,0.6,1.0,0.6,Kentucky
2,2020-03-23,4467673,4467673,0.6,1.0,0.6,Kentucky
3,2020-04-01,4467673,4467673,0.6,1.0,0.6,Kentucky
4,2020-05-06,4467673,4467673,0.6,1.0,0.6,Kentucky
5,2020-05-11,4467673,4467673,-1.0,1.0,-1.0,Kentucky
6,2020-05-22,4467673,4467673,-1.0,1.0,-1.0,Kentucky
0,2020-02-29,7614893,60919144,0.7999999999999999,1.0,0.1,Washington
1,2020-03-11,7614893,60919144,1.4000000000000001,1.0,0.20452792967675318,Washington
2,2020-03-12,7614893,60919144,2.8999999999999995,1.0,0.34773603516162344,Washington
3,2020-03-15,7614893,60919144,2.8999999999999995,1.0,0.34773603516162344,Washington
4,2020-03-21,7614893,60919144,3.4999999999999996,1.0,0.35650269806811474,Washington
5,2020-03-22,7614893,60919144,4.7,1.0,0.3796394644021919,Washington
6,2020-03-23,7614893,60919144,4.7,1.0,0.3796394644021919,Washington
7,2020-03-24,7614893,60919144,5.3,1.0,0.380121047006176,Washington
8,2020-05-05,7614893,60919144,5.3,1.0,0.380121047006176,Washington
9,2020-05-11,7614893,60919144,5.3,1.0,0.380121047006176,Washington
0,2020-03-12,7278717,58229736,0.7999999999999999,1.0,0.10000000000000003,Arizona
1,2020-03-17,7278717,58229736,1.8000000000000005,1.0,0.2515546627242136,Arizona
2,2020-03-20,7278717,58229736,4.3,1.0,0.6105320072205032,Arizona
3,2020-03-31,7278717,58229736,4.3,1.0,0.6105320072205032,Arizona
4,2020-05-08,7278717,58229736,3.4000000000000004,1.0,0.6294896202174091,Arizona
5,2020-05-11,7278717,58229736,3.4000000000000004,1.0,0.6294896202174091,Arizona
6,2020-05-15,7278717,58229736,3.4000000000000004,1.0,0.6294896202174091,Arizona
0,2020-03-13,762062,762062,0.1,1.0,0.1,North Dakota
1,2020-03-19,762062,762062,0.1,1.0,0.1,North Dakota
2,2020-04-08,762062,762062,0.1,1.0,0.1,North Dakota
3,2020-05-01,762062,762062,0.1,1.0,0.1,North Dakota
4,2020-05-09,762062,762062,0.1,1.0,0.1,North Dakota
0,2020-03-11,731545,1463090,0.2,1.0,0.1,Alaska
1,2020-03-16,731545,1463090,0.8,1.0,0.4,Alaska
2,2020-03-18,731545,1463090,0.8,1.0,0.4,Alaska
3,2020-03-22,731545,1463090,1.4,1.0,0.6362123997840188,Alaska
4,2020-03-25,731545,1463090,1.4,1.0,0.6362123997840188,Alaska
5,2020-04-24,731545,1463090,1.3,1.0,0.5755811330813553,Alaska
0,2020-03-13,12801989,435267626,13.600000000000007,0.9999999999999999,0.4,Pennsylvania
1,2020-03-16,12801989,435267626,-27.200000000000014,0.9999999999999999,-0.8,Pennsylvania
2,2020-03-23,12801989,435267626,-14.600000000000005,1.0,-0.023677273898610643,Pennsylvania
3,2020-03-25,12801989,435267626,-9.200000000000001,1.0,0.10909864084401268,Pennsylvania
4,2020-03-27,12801989,435267626,6.999999999999991,1.0,0.4728332292739823,Pennsylvania
5,2020-03-28,12801989,435267626,12.399999999999991,1.0,0.5477998770347327,Pennsylvania
6,2020-03-30,12801989,435267626,19.599999999999994,0.9999999999999999,0.6514539264172153,Pennsylvania
7,2020-03-31,12801989,435267626,32.2,1.0,0.7290812076154729,Pennsylvania
8,2020-04-01,12801989,435267626,32.2,1.0,0.7290812076154729,Pennsylvania
9,2020-05-08,12801989,435267626,32.2,1.0,0.7290812076154729,Pennsylvania
10,2020-05-15,12801989,435267626,32.2,1.0,0.7290812076154729,Pennsylvania
0,2020-02-28,4217737,4217737,0.3,1.0,0.3,Oregon
1,2020-03-08,4217737,4217737,0.1,1.0,0.1,Oregon
2,2020-03-12,4217737,4217737,0.1,1.0,0.1,Oregon
3,2020-03-23,4217737,4217737,0.1,1.0,0.1,Oregon
4,2020-05-05,4217737,4217737,0.1,1.0,0.1,Oregon
5,2020-05-15,4217737,4217737,0.1,1.0,0.1,Oregon
0,2020-03-10,3565287,3565287,0.1,1.0,0.1,Connecticut
1,2020-03-13,3565287,3565287,0.4,1.0,0.4,Connecticut
2,2020-05-20,3565287,3565287,0.4,1.0,0.4,Connecticut
0,2020-03-13,1787065,3574130,0.2,1.0,0.09999999999999999,Idaho
1,2020-03-17,1787065,3574130,1.1,1.0,0.11159381443875852,Idaho
2,2020-03-23,1787065,3574130,1.4,1.0,0.40772920962583903,Idaho
3,2020-03-25,1787065,3574130,1.4,1.0,0.40772920962583903,Idaho
4,2020-05-01,1787065,3574130,1.4,1.0,0.40772920962583903,Idaho
5,2020-05-15,1787065,3574130,1.4,1.0,0.40772920962583903,Idaho
0,2020-03-05,6045680,6045680,0.1,1.0,0.1,Maryland
1,2020-03-12,6045680,6045680,0.3,1.0,0.3,Maryland
2,2020-03-16,6045680,6045680,0.3,1.0,0.3,Maryland
3,2020-03-23,6045680,6045680,0.3,1.0,0.3,Maryland
4,2020-03-30,6045680,6045680,0.3,1.0,0.3,Maryland
5,2020-05-15,6045680,6045680,0.3,1.0,0.3,Maryland
0,2020-03-15,1344212,5376848,0.4,1.0,0.1,Maine
1,2020-03-23,1344212,5376848,1.3000000000000003,1.0,0.2975154960675846,Maine
2,2020-03-25,1344212,5376848,2.2,1.0,0.3419841513094661,Maine
3,2020-03-26,1344212,5376848,3.1,1.0,0.35912832202063366,Maine
4,2020-03-31,1344212,5376848,3.1,1.0,0.35912832202063366,Maine
5,2020-05-01,1344212,5376848,3.1,1.0,0.35912832202063366,Maine
6,2020-05-18,1344212,5376848,3.1,1.0,0.35912832202063366,Maine
0,2020-03-13,5639632,11279264,0.2,1.0,0.1,Minnesota
1,2020-03-14,5639632,11279264,0.4,1.0,0.1109118821937318,Minnesota
2,2020-03-17,5639632,11279264,0.4,1.0,0.1109118821937318,Minnesota
3,2020-03-18,5639632,11279264,0.7,1.0,0.3945440589031341,Minnesota
4,2020-03-27,5639632,11279264,0.7,1.0,0.3945440589031341,Minnesota
5,2020-05-18,5639632,11279264,0.7,1.0,0.3945440589031341,Minnesota
0,2020-03-11,4648794,9297588,0.2,1.0,0.1,Louisiana
1,2020-03-16,4648794,9297588,0.6,1.0,0.29999999999999993,Louisiana
2,2020-03-20,4648794,9297588,1.3,1.0,0.35887638815572376,Louisiana
3,2020-03-23,4648794,9297588,1.3,1.0,0.35887638815572376,Louisiana
4,2020-05-15,4648794,9297588,1.3,1.0,0.35887638815572376,Louisiana
0,2020-03-04,1415872,5663488,0.4,1.0,0.1,Hawaii
1,2020-03-16,1415872,5663488,1.6,1.0,0.4,Hawaii
2,2020-03-19,1415872,5663488,2.0,1.0,0.5613111919721556,Hawaii
3,2020-03-20,1415872,5663488,1.9,1.0,0.5562052925688198,Hawaii
4,2020-03-21,1415872,5663488,1.9,1.0,0.5562052925688198,Hawaii
5,2020-03-22,1415872,5663488,2.3,1.0,0.8315304632057134,Hawaii
6,2020-03-25,1415872,5663488,2.3,1.0,0.8315304632057134,Hawaii
7,2020-05-07,1415872,5663488,2.3,1.0,0.8315304632057134,Hawaii
0,2020-03-13,10617423,307905267,2.9000000000000012,0.9999999999999999,0.1,Georgia
1,2020-03-18,10617423,307905267,11.600000000000005,0.9999999999999999,0.4,Georgia
2,2020-03-19,10617423,307905267,12.200000000000006,0.9999999999999999,0.407118337472285,Georgia
3,2020-03-22,10617423,307905267,12.800000000000006,1.0,0.4120888091206313,Georgia
4,2020-03-23,10617423,307905267,12.800000000000006,1.0,0.4120888091206313,Georgia
5,2020-03-24,10617423,307905267,18.799999999999994,1.0,0.47621787320708614,Georgia
6,2020-03-25,10617423,307905267,20.599999999999984,1.0,0.5263964334848485,Georgia
7,2020-03-26,10617423,307905267,22.399999999999984,1.0,0.5425817168629338,Georgia
8,2020-03-27,10617423,307905267,24.19999999999999,0.9999999999999999,0.5504596171782928,Georgia
9,2020-03-28,10617423,307905267,27.199999999999996,0.9999999999999998,0.6509264818779471,Georgia
10,2020-03-30,10617423,307905267,27.799999999999997,0.9999999999999999,0.6520602598201088,Georgia
11,2020-04-01,10617423,307905267,28.4,0.9999999999999999,0.7121842842655887,Georgia
12,2020-04-02,10617423,307905267,28.4,0.9999999999999999,0.7121842842655887,Georgia
13,2020-04-24,10617423,307905267,28.4,0.9999999999999999,0.7121842842655887,Georgia
14,2020-04-27,10617423,307905267,28.4,0.9999999999999999,0.7121842842655887,Georgia
15,2020-04-30,10617423,307905267,28.4,0.9999999999999999,0.7121842842655887,Georgia
0,2020-03-01,21477737,644332110,3.0000000000000013,1.0000000000000002,0.1,Florida
1,2020-03-17,21477737,644332110,3.0000000000000013,1.0000000000000002,0.1,Florida
2,2020-03-24,21477737,644332110,18.8,1.0,0.6067187897868384,Florida
3,2020-03-25,21477737,644332110,19.6,1.0,0.6133378483962253,Florida
4,2020-03-26,21477737,644332110,22.00000000000001,1.0,0.6426167430954202,Florida
5,2020-03-27,21477737,644332110,23.200000000000014,1.0,0.7088854193530724,Florida
6,2020-03-28,21477737,644332110,28.000000000000007,1.0000000000000002,0.7554700292679812,Florida
7,2020-03-30,21477737,644332110,29.200000000000003,1.0,0.808744282509838,Florida
8,2020-03-31,21477737,644332110,29.6,1.0,0.8112104641191947,Florida
9,2020-04-01,21477737,644332110,29.6,1.0,0.8112104641191947,Florida
10,2020-05-04,21477737,644332110,29.6,1.0,0.8112104641191947,Florida
11,2020-05-11,21477737,644332110,29.6,1.0,0.8112104641191947,Florida
12,2020-05-18,21477737,644332110,29.6,1.0,0.8112104641191947,Florida
0,2020-03-12,973764,973764,0.1,1.0,0.1,Delaware
1,2020-03-13,973764,973764,0.4,1.0,0.4,Delaware
2,2020-03-23,973764,973764,0.4,1.0,0.4,Delaware
0,2020-03-02,4903185,19612740,1.2,1.0,0.3,Alabama
1,2020-03-13,4903185,19612740,1.2,1.0,0.3,Alabama
2,2020-03-18,4903185,19612740,1.2,1.0,0.3,Alabama
3,2020-03-24,4903185,19612740,1.9000000000000001,1.0,0.3299633809452427,Alabama
4,2020-03-27,4903185,19612740,3.3,1.0,0.37269717540741376,Alabama
5,2020-04-04,4903185,19612740,4.0,1.0,1.0,Alabama
6,2020-05-01,4903185,19612740,4.0,1.0,1.0,Alabama
7,2020-05-11,4903185,19612740,4.0,1.0,1.0,Alabama
0,2020-03-13,6137428,239359692,3.900000000000002,1.0,0.1,Missouri
1,2020-03-19,6137428,239359692,15.600000000000009,1.0,0.4,Missouri
2,2020-03-22,6137428,239359692,18.000000000000004,1.0,0.4850403784777597,Missouri
3,2020-03-24,6137428,239359692,20.39999999999999,1.0,0.5641134364427576,Missouri
4,2020-03-25,6137428,239359692,22.79999999999998,1.0,0.5984674687833406,Missouri
5,2020-03-26,6137428,239359692,25.79999999999997,1.0,0.6249250663307171,Missouri
6,2020-03-27,6137428,239359692,26.39999999999997,1.0,0.6258068689359778,Missouri
7,2020-03-28,6137428,239359692,27.599999999999973,1.0,0.6345077775250481,Missouri
8,2020-03-29,6137428,239359692,28.199999999999974,1.0,0.6402769368536788,Missouri
9,2020-03-30,6137428,239359692,29.99999999999998,1.0,0.6434003950840647,Missouri
10,2020-03-31,6137428,239359692,31.19999999999998,1.0,0.6480356266501213,Missouri
11,2020-04-01,6137428,239359692,33.59999999999999,1.0,0.6575409112742341,Missouri
12,2020-04-02,6137428,239359692,34.79999999999999,1.0,0.6655213226126645,Missouri
13,2020-04-03,6137428,239359692,36.599999999999994,1.0,0.6745886387587765,Missouri
14,2020-04-04,6137428,239359692,37.8,1.0,0.6803411787478403,Missouri
15,2020-04-05,6137428,239359692,38.4,1.0,0.6821303972934591,Missouri
16,2020-04-06,6137428,239359692,38.4,1.0,0.6821303972934591,Missouri
17,2020-05-03,6137428,239359692,38.4,1.0,0.6821303972934591,Missouri
0,2020-03-14,2976149,20833043,0.7,1.0,0.1,Mississippi
1,2020-03-21,2976149,20833043,1.6000000000000005,1.0,0.10721324772382029,Mississippi
2,2020-03-22,2976149,20833043,3.4000000000000004,1.0,0.12618427370403834,Mississippi
3,2020-03-24,2976149,20833043,4.8999999999999995,1.0,0.3213141210335907,Mississippi
4,2020-03-31,2976149,20833043,6.3,1.0,0.3475275263436071,Mississippi
5,2020-04-01,2976149,20833043,7.0,1.0,1.0,Mississippi
6,2020-04-27,2976149,20833043,7.0,1.0,1.0,Mississippi
7,2020-05-07,2976149,20833043,7.0,1.0,1.0,Mississippi
0,2020-03-09,12671821,12671821,0.1,1.0,0.1,Illinois
1,2020-03-15,12671821,12671821,0.6,1.0,0.6,Illinois
2,2020-03-16,12671821,12671821,0.3,1.0,0.3,Illinois
3,2020-03-17,12671821,12671821,0.3,1.0,0.3,Illinois
4,2020-03-21,12671821,12671821,0.3,1.0,0.3,Illinois
5,2020-05-01,12671821,12671821,0.3,1.0,0.3,Illinois
0,2020-03-04,39512223,592683345,1.5000000000000002,1.0,0.1,California
1,2020-03-12,39512223,592683345,1.5000000000000002,1.0,0.1,California
2,2020-03-13,39512223,592683345,4.799999999999998,0.9999999999999999,0.17977205686453027,California
